-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,
-1,34,34,34,16,16,32,11,9,9,9,9,12,12,47,9,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,
-1,2,2,15,0,0,14,-1,-1,-1,-1,-1,-1,-1,33,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,
-1,2,2,15,0,0,14,10,10,25,25,10,25,25,33,10,23,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,
-1,35,35,35,0,0,14,24,24,24,24,24,24,24,46,24,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
